id_nodo,distrito,lat_mean,lon_mean,count
304,LURIN,-12.293174677878847,-76.85262597238678,866
305,CARABAYLLO,-11.858005256702658,-77.01013693735932,1436
306,LURIN,-12.26773839380024,-76.83492562475946,896
307,SAN JUAN DE LURIGANCHO,-11.9985858553763,-77.01477340056647,2104
308,LIMA,-12.108678226180897,-76.81791697361895,335
309,BARRANCA,-10.608619471023857,-77.76728459717064,101
310,ATE,-12.007916094110023,-76.85361508365447,1214
311,PUENTE PIEDRA,-11.919098844587934,-77.0892763295646,1259
312,VILLA MARIA DEL TRIUNFO,-12.21100551344741,-76.91418046155876,1471
313,MALA,-12.706945345566497,-76.61890180946219,429
314,LIMA,-11.984445645194256,-76.94504331562858,471
315,CHECRAS,-10.909096532632892,-76.88505558411053,21
316,SURQUILLO,-12.116456509169884,-77.00014691507602,3504
317,SAYAN,-11.24397418187275,-77.36261341527634,209
318,SANTIAGO DE SURCO,-12.16473159609085,-76.99210697798387,3033
319,LA MOLINA,-12.064535943831409,-76.94511080627798,1923
320,SAN MARTIN DE PORRES,-12.019061835425061,-77.08225940307275,2691
321,SAN MARTIN DE PORRES,-11.971585881991722,-77.09099807728428,2903
322,IMPERIAL,-13.076223193450849,-76.33268627377764,466
323,VILLA MARIA DEL TRIUNFO,-12.17678217104476,-76.95118963433777,2608
324,SAN ANTONIO,-11.773972833041906,-76.61455635019726,169
325,PACHACAMAC,-12.098291647191465,-76.88514249914728,1397
326,CHORRILLOS,-12.204702698675492,-77.01168326579574,2323
327,CHILCA,-12.53902430050788,-76.7220098269704,157
328,CARABAYLLO,-11.839758334569796,-77.05220749569078,1345
329,VILLA EL SALVADOR,-12.212326578612233,-76.9486147085503,2844
330,LIMA,-11.81625400431137,-77.16023275075858,835
331,CARABAYLLO,-11.759123272797341,-76.89324795658683,68
332,VILLA EL SALVADOR,-12.197940586578637,-76.94807143545584,2559
333,CHANCAY,-11.44335465810101,-77.35441517687298,61
334,SAN JUAN DE LURIGANCHO,-11.940576077569402,-76.99195189161851,1949
335,AMBAR,-10.870547182222444,-77.17658503078121,13
336,LURIN,-12.252170435639234,-76.89583295116432,549
337,SANTIAGO DE SURCO,-12.14544114963719,-77.00915278637538,2767
338,LIMA,-12.361889297916754,-76.7940114362318,360
339,ATE,-12.02271758300274,-76.89256835701892,1351
340,VILLA MARIA DEL TRIUNFO,-12.137277393583451,-76.9460846961115,2130
341,CHORRILLOS,-12.17894737947725,-77.00670394896161,1820
342,INDEPENDENCIA,-11.976273718072104,-77.04679392616315,3317
343,SAN VICENTE DE CAÑETE,-13.218612908446588,-76.27178800059212,346
344,SAN VICENTE DE CAÑETE,-13.168709022287272,-76.32161025873845,234
345,ATE,-11.995174420678879,-76.83024143624041,1440
346,SANTA MARIA,-11.085727396560468,-77.57574860890763,271
347,SAN JUAN DE LURIGANCHO,-11.927936147904589,-76.99281519198462,1363
348,SAN JUAN DE LURIGANCHO,-11.933359790555567,-76.94891890372504,1185
349,ATE,-12.015765944825812,-76.84031704526325,1556
350,SAN ISIDRO,-12.100041031984409,-77.01913711316004,2570
351,SAN LORENZO DE QUINTI,-12.06619909244344,-76.04503673584978,16
352,CANTA,-11.540181060347209,-76.66399903582811,24
353,LOS OLIVOS,-11.991498208143964,-77.08015918677636,3696
354,CHANCAY,-11.532925844630228,-77.25449536516598,319
355,YAUYOS,-12.462545853904674,-75.69732439544048,9
356,CHILCA,-12.445377931914663,-76.74746399679293,212
357,CHILCA,-12.482762312958194,-76.6916810925504,81
358,SAN JUAN DE LURIGANCHO,-11.954508903456743,-76.99271751301352,2374
359,LIMA,-12.299757999843312,-76.76160368012007,361
360,SAN JUAN DE MIRAFLORES,-12.14439303459578,-76.97062444287725,2304
361,SAN ANTONIO,-11.764163334162069,-76.72040636279851,95
362,SAN VICENTE DE CAÑETE,-13.29006240459408,-76.23731941627736,258
363,SANTA LEONOR,-10.930231956304905,-76.75627407309595,15
364,SANTA EULALIA,-11.92261835477293,-76.66508752970456,522
365,ANCON,-11.738568111123989,-77.15357803021145,945
366,VILLA MARIA DEL TRIUNFO,-12.175358441131596,-76.93186789613917,1980
